"";"Met";"Gene";"Ev";"NrComponents";"Pv_wilcox";"Pv_adj";"Pathway";"Reference";"logFC";"P.Value";"adj.P.Val";"p_value_COX";"coef_COX";"oneTail"
"14";"cg00064020";"PSMD2";"PSMD2_45_C";2;0,344184552665657;0,613037023013023;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"15";"cg00064020";"PSMD2";"PSMD2_34_RI";2;0,27080407482246;0,543036375675857;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"16";"cg00064020";"PSMD2";"PSMD2_50_C";2;0,0335377410082802;0,158021306636536;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"17";"cg00064020";"PSMD2";"PSMD2_49_AF";2;0,565809704985162;0,783284133306197;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"18";"cg00064020";"PSMD2";"PSMD2_51_RI";2;0,100252067573716;0,312105493389871;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"19";"cg00064020";"AP2M1";"AP2M1_21_AL";2;0,0142314976623524;0,0883909425122667;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,11764744778335;-0,214456463407679;0,941176276108325
"20";"cg00064020";"PSMD2";"PSMD2_22_AL";2;0,105454771319601;0,321532750914062;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"21";"cg00064020";"PSMD2";"PSMD2_14_C";2;0,694361636969348;0,860424848335197;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"22";"cg00064020";"PSMD2";"PSMD2_16_RI";2;0,670197004047426;0,850464076027318;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"23";"cg00064020";"AP2M1";"AP2M1_35_C";2;0,111994453294169;0,333807598519942;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,11764744778335;-0,214456463407679;0,941176276108325
"24";"cg00064020";"PSMD2";"PSMD2_25_RI";2;0,147993201196138;0,393390512015355;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"25";"cg00064020";"AP2M1";"AP2M1_17_RI";2;0,197105118435245;0,455773579025828;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,11764744778335;-0,214456463407679;0,941176276108325
"26";"cg00064020";"AP2M1";"AP2M1_38_C";2;0,165179429416931;0,416562949942606;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,11764744778335;-0,214456463407679;0,941176276108325
"27";"cg00064020";"PSMD2";"PSMD2_30_AF";2;0,5288901935209;0,757401950681777;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,11764744778335;-0,214456463407679;0,941176276108325
"28";"cg00069432";"STK3";"STK3_18_C";2;0,00904622277993966;0,0650524691764549;NA;NA;1,21456313249337;2,17378371159871e-30;3,2662853318151e-28;0,0557764037555435;0,259597128020867;0,0278882018777717
"29";"cg00078221";"SRA1";"SRA1_6_C";2;0,68055288377615;0,855008971631355;NA;NA;0,41111125901961;1,0649954233451e-08;9,66572734790755e-08;0,0120697760365286;0,345932316421961;0,00603488801826432
"30";"cg00078456";"MIB2";"MIB2_63_C";2;4,93696507874584e-12;5,20165778477498e-10;NA;NA;0,908278303177959;7,36834053549523e-13;1,19109047727277e-11;0,694355193695594;-0,0578543264725969;0,652822403152203
"31";"cg00078456";"MIB2";"MIB2_33_RI";2;2,87629592163091e-07;9,21362924346603e-06;NA;NA;0,908278303177959;7,36834053549523e-13;1,19109047727277e-11;0,694355193695594;-0,0578543264725969;0,652822403152203
"32";"cg00082897";"ODF3B";"ODF3B_9_C";2;2,59436137888417e-07;8,49726226904196e-06;NA;NA;0,62777704083861;1,48831555110813e-06;9,4906760616893e-06;0,15758873826482;-0,196973556286101;0,92120563086759
"33";"cg00082897";"SCO2";"SCO2_3_A5";2;3,80948482511377e-10;2,28177704079588e-08;NA;NA;0,885154424205014;5,11601300111939e-14;9,62096432514856e-13;0,15758873826482;-0,196973556286101;0,92120563086759
"34";"cg00083072";"SIPA1";"SIPA1_6_AF";2;0,00726941225411093;0,055569064827098;NA;NA;0,865760463133875;2,12102214481286e-13;3,6788243818055e-12;0,00410438768202442;0,422238819572678;0,00205219384101221
"35";"cg00083072";"SIPA1";"SIPA1_7_C";2;0,000872948316733583;0,010921220357418;NA;NA;0,865760463133875;2,12102214481286e-13;3,6788243818055e-12;0,00410438768202442;0,422238819572678;0,00205219384101221
"36";"cg00085732";"PIGS";"PIGS_16_C";2;0,682099260490125;0,85546306330431;NA;NA;0,555961220907072;3,48249926137516e-07;2,48268495730294e-06;0,00142286518793523;-0,454878278727908;0,999288567406032
"37";"cg00088880";"TES";"TES_23_C";2;0,0607229553949233;0,231281465561239;NA;NA;0,802798067769049;1,56672986925421e-10;1,8602305980945e-09;0,731902547186161;0,053591850168924;0,36595127359308
"38";"cg00088880";"TES";"TES_18_C";2;0,240552958617086;0,509354872422862;NA;NA;0,802798067769049;1,56672986925421e-10;1,8602305980945e-09;0,731902547186161;0,053591850168924;0,36595127359308
"39";"cg00091827";"BIN1";"BIN1_6_AF";2;0,665203183438066;0,848854784644081;"Proliferation";"Karni R, de Stanchina E, Lowe SW, Sinha R, Mu D, Krainer AR. The gene encoding the splicing factor SF2/ASF is a proto-oncogene. Nat Struct Mol Biol. 2007 Mar;14(3):185-93.";-0,307160026308194;0,124618160615393;0,233185874908208;0,372253247683084;0,170375834348105;0,186126623841542
"40";"cg00091827";"BIN1";"BIN1_5_C";2;0,177067714800569;0,433134871589084;"Proliferation";"Karni R, de Stanchina E, Lowe SW, Sinha R, Mu D, Krainer AR. The gene encoding the splicing factor SF2/ASF is a proto-oncogene. Nat Struct Mol Biol. 2007 Mar;14(3):185-93.";-0,307160026308194;0,124618160615393;0,233185874908208;0,372253247683084;0,170375834348105;0,186126623841542
"41";"cg00091827";"BIN1";"BIN1_4_C";2;0,0202098692967492;0,112998791343289;"Proliferation";"Karni R, de Stanchina E, Lowe SW, Sinha R, Mu D, Krainer AR. The gene encoding the splicing factor SF2/ASF is a proto-oncogene. Nat Struct Mol Biol. 2007 Mar;14(3):185-93.";-0,307160026308194;0,124618160615393;0,233185874908208;0,372253247683084;0,170375834348105;0,186126623841542
"42";"cg00091827";"BIN1";"BIN1_7_CE";2;0,322063729959829;0,594061868487388;"Proliferation";"Karni R, de Stanchina E, Lowe SW, Sinha R, Mu D, Krainer AR. The gene encoding the splicing factor SF2/ASF is a proto-oncogene. Nat Struct Mol Biol. 2007 Mar;14(3):185-93.";-0,307160026308194;0,124618160615393;0,233185874908208;0,372253247683084;0,170375834348105;0,186126623841542
"43";"cg00091827";"BIN1";"BIN1_8_C";2;0,0201174973944926;0,112774047894127;"Proliferation";"Karni R, de Stanchina E, Lowe SW, Sinha R, Mu D, Krainer AR. The gene encoding the splicing factor SF2/ASF is a proto-oncogene. Nat Struct Mol Biol. 2007 Mar;14(3):185-93.";-0,307160026308194;0,124618160615393;0,233185874908208;0,372253247683084;0,170375834348105;0,186126623841542
"44";"cg00103568";"KLHL21";"KLHL21_7_C";2;0,431546893034033;0,686889221380084;NA;NA;0,254537140735181;0,0324776093009934;0,0765829109662131;0,845799364376052;-0,0338687670218429;0,577100317811974
"45";"cg00103783";"AC113189.5";"AC113189.5_2_C";2;0,293967740148044;0,567867467254932;NA;NA;0,36030042540801;0,0215274077236016;0,0539070645137759;0,924990336923327;-0,0151968599962373;0,537504831538336
"46";"cg00110675";"DDAH2";"DDAH2_3_A3";2;0,248862139570431;0,518660488690043;NA;NA;-0,562230683209388;7,27798739798123e-06;4,05811463073071e-05;0,377887183649256;0,146718887959918;0,188943591824628
"47";"cg00110675";"DDAH2";"DDAH2_13_RI";2;5,84100112019845e-14;1,00155989796344e-11;NA;NA;-0,562230683209388;7,27798739798123e-06;4,05811463073071e-05;0,377887183649256;0,146718887959918;0,188943591824628
"48";"cg00110675";"DDAH2";"DDAH2_5_C";2;5,51023080993238e-11;3,91763970998851e-09;NA;NA;-0,562230683209388;7,27798739798123e-06;4,05811463073071e-05;0,377887183649256;0,146718887959918;0,188943591824628
"49";"cg00116946";"RPL26L1";"RPL26L1_6_C";2;0,716868550894822;0,873203220627717;NA;NA;0,769806043589237;9,87166508014655e-22;4,89974432182946e-20;0,112581083760672;-0,317690590539302;0,943709458119664
"50";"cg00121465";"DEF8";"DEF8_27_C";2;0,780661637939039;0,904432024293445;NA;NA;0,329763418752954;6,38122168844463e-05;0,000295329026384956;0,631711685623104;-0,079362340891113;0,684144157188448
"51";"cg00121465";"DEF8";"DEF8_20_C";2;0,0111159735927955;0,0745469241326664;NA;NA;0,329763418752954;6,38122168844463e-05;0,000295329026384956;0,631711685623104;-0,079362340891113;0,684144157188448
"52";"cg00124375";"DDAH2";"DDAH2_5_C";2;5,74588050027939e-07;1,72081249914189e-05;NA;NA;-0,562230683209388;7,27798739798123e-06;4,05811463073071e-05;0,557423259027644;0,0891912925835498;0,278711629513822
"53";"cg00124375";"DDAH2";"DDAH2_13_RI";2;0,00252305276422806;0,0251873246839891;NA;NA;-0,562230683209388;7,27798739798123e-06;4,05811463073071e-05;0,557423259027644;0,0891912925835498;0,278711629513822
"54";"cg00124375";"DDAH2";"DDAH2_3_A3";2;0,0847980679603496;0,283037826073762;NA;NA;-0,562230683209388;7,27798739798123e-06;4,05811463073071e-05;0,557423259027644;0,0891912925835498;0,278711629513822
"55";"cg00130799";"PSMD2";"PSMD2_25_RI";2;0,208687423646006;0,469627256763849;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"56";"cg00130799";"PSMD2";"PSMD2_16_RI";2;0,16847487813827;0,421548729418933;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"57";"cg00130799";"PSMD2";"PSMD2_34_RI";2;0,659987153137491;0,846313229488856;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"58";"cg00130799";"PSMD2";"PSMD2_30_AF";2;0,578585858561973;0,792688913226454;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"59";"cg00130799";"ABCF3";"ABCF3_25_C";2;0,776962082741522;0,902808053889797;NA;NA;0,901427063978393;8,7478267359521e-22;4,36339291737103e-20;0,343006796172752;-0,130617565391978;0,828496601913624
"60";"cg00130799";"AP2M1";"AP2M1_17_RI";2;0,646439232811602;0,838118768115264;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,343006796172752;-0,130617565391978;0,828496601913624
"61";"cg00130799";"PSMD2";"PSMD2_51_RI";2;0,00640165161758551;0,0504801112676152;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"62";"cg00130799";"PSMD2";"PSMD2_14_C";2;0,989970257575538;0,995978473734039;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"63";"cg00130799";"PSMD2";"PSMD2_49_AF";2;0,578585858561973;0,792688913226454;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"64";"cg00130799";"AP2M1";"AP2M1_21_AL";2;0,614673039499364;0,817414192582412;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,343006796172752;-0,130617565391978;0,828496601913624
"65";"cg00130799";"PSMD2";"PSMD2_29_C";2;0,258777640067672;0,530315904887841;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"66";"cg00130799";"PSMD2";"PSMD2_22_AL";2;0,179912480303349;0,437158833079407;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"67";"cg00130799";"PSMD2";"PSMD2_50_C";2;0,233589367591512;0,501654965517626;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"68";"cg00130799";"AP2M1";"AP2M1_35_C";2;0,0811376125449749;0,276103302810018;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,343006796172752;-0,130617565391978;0,828496601913624
"69";"cg00130799";"PSMD2";"PSMD2_45_C";2;0,64968168648117;0,839953041916771;NA;NA;1,28466112687272;6,98742628671839e-28;7,69302929756264e-26;0,343006796172752;-0,130617565391978;0,828496601913624
"70";"cg00130799";"AP2M1";"AP2M1_38_C";2;0,487116070577205;0,726437591609424;NA;NA;1,2019598805746;3,3212119997744e-30;4,89325234633428e-28;0,343006796172752;-0,130617565391978;0,828496601913624
"71";"cg00179070";"COL1A1";"COL1A1_22_AF";2;0,000521807193777906;0,00715235722505923;NA;NA;3,77435971944475;1,01080777898186e-31;1,79496933279963e-29;0,0770484659808235;0,254782769093533;0,0385242329904117
"72";"cg00186499";"RBM38";"RBM38_9_AF";2;0,113166449784789;0,335130580212659;NA;NA;0,697992227278052;3,67823480242783e-08;3,07301090267957e-07;0,0957700683544471;-0,247555429222783;0,952114965822776
"73";"cg00186499";"RBM38";"RBM38_4_CE";2;0,28687354791229;0,560981479537786;NA;NA;0,697992227278052;3,67823480242783e-08;3,07301090267957e-07;0,0957700683544471;-0,247555429222783;0,952114965822776
"74";"cg00202460";"C15orf40";"C15orf40_20_C";2;0,946053910410043;0,980332688279812;NA;NA;0,230012475188734;0,00361664028421143;0,0112574296170525;0,0429058272582984;-0,306212472409458;0,978547086370851
"75";"cg00202460";"C15orf40";"C15orf40_18_C";2;0,939556980967624;0,977375772479402;NA;NA;0,230012475188734;0,00361664028421143;0,0112574296170525;0,0429058272582984;-0,306212472409458;0,978547086370851
"76";"cg00202460";"C15orf40";"C15orf40_24_C";2;0,949769229168544;0,981685268546939;NA;NA;0,230012475188734;0,00361664028421143;0,0112574296170525;0,0429058272582984;-0,306212472409458;0,978547086370851
"77";"cg00202460";"C15orf40";"C15orf40_22_C";2;0,334651097567396;0,604397862096206;NA;NA;0,230012475188734;0,00361664028421143;0,0112574296170525;0,0429058272582984;-0,306212472409458;0,978547086370851
"78";"cg00207279";"DNAAF5";"DNAAF5_3_A3";2;0,96260884505505;0,985946866948514;NA;NA;0,578178022866712;5,21048081861666e-07;3,60465503816421e-06;0,22463994341174;-0,228407031354805;0,88768002829413
"79";"cg00213957";"PDZD11";"PDZD11_4_AF";2;0,399975565496105;0,662034011857741;NA;NA;0,602448192483482;2,29954473187945e-15;5,12501404837057e-14;0,0391361558884857;0,300551259608552;0,0195680779442428
"80";"cg00215182";"C1QB";"C1QB_6_CE";2;0,951078198614963;0,982161431901309;NA;NA;1,01475283590956;3,97442036219509e-05;0,000192164684296041;0,222173659487683;-0,171587786877928;0,888913170256158
"81";"cg00220455";"PPP1CA";"PPP1CA_9_C";2;0,0378376413783516;0,171801751741269;NA;NA;0,659272781276788;1,14271071095681e-15;2,63301767090102e-14;0,110880864482776;-0,341549054719925;0,944559567758612
"82";"cg00220455";"PPP1CA";"PPP1CA_22_C";2;0,760485841303038;0,894831173075163;NA;NA;0,659272781276788;1,14271071095681e-15;2,63301767090102e-14;0,110880864482776;-0,341549054719925;0,944559567758612
"83";"cg00233307";"EIF3K";"EIF3K_6_C";2;0,720342968351163;0,875520676254925;NA;NA;0,0164247913038459;0,833296295627726;0,880787304464057;0,121768005704412;0,211032253603578;0,0608840028522061
"84";"cg00233307";"EIF3K";"EIF3K_8_C";2;0,0122712186070489;0,0798450942847044;NA;NA;0,0164247913038459;0,833296295627726;0,880787304464057;0,121768005704412;0,211032253603578;0,0608840028522061
"85";"cg00265812";"UXT";"UXT_5_C";2;0,343026382180347;0,612188778205569;NA;NA;0,137874753463444;0,0966945509895425;0,190284418466113;0,0101969757909849;0,373256282178719;0,00509848789549244
"86";"cg00265812";"UXT";"UXT_13_C";2;0,43249119186709;0,687535988525305;NA;NA;0,137874753463444;0,0966945509895425;0,190284418466113;0,0101969757909849;0,373256282178719;0,00509848789549244
"87";"cg00268744";"PLA2G15";"PLA2G15_7_C";2;0,108038465866264;0,325904237323379;NA;NA;0,604486764469883;5,80076354716828e-10;6,36454857465534e-09;0,0716151912232673;-0,343590880986879;0,964192404388366
"88";"cg00273124";"NHP2";"NHP2_10_AF";2;0,833502775630215;0,932929959412035;NA;NA;0,0414392429663052;0,594680280247337;0,704591642993216;0,740254606861861;-0,0492793636039415;0,62987269656907
"89";"cg00273863";"VARS";"VARS_1_AF";2;0,693284834581614;0,860384393113784;NA;NA;0,596927000629341;1,91645454335957e-10;2,24770459846205e-09;0,909560224052243;-0,0163266326481889;0,545219887973879
"90";"cg00280345";"PPP1R16A";"PPP1R16A_7_RI";2;0,244974812003648;0,513495860731521;NA;NA;0,0382908183926619;0,726820135582099;0,802082418902872;0,0682442256599465;0,317881849383559;0,0341221128299733
"91";"cg00280345";"PPP1R16A";"PPP1R16A_14_AF";2;1,29046365186106e-05;0,000290853212255799;NA;NA;0,0382908183926619;0,726820135582099;0,802082418902872;0,0682442256599465;0,317881849383559;0,0341221128299733
"92";"cg00280345";"PPP1R16A";"PPP1R16A_12_RI";2;0,358953103559119;0,626985230092403;NA;NA;0,0382908183926619;0,726820135582099;0,802082418902872;0,0682442256599465;0,317881849383559;0,0341221128299733
"93";"cg00280345";"PPP1R16A";"PPP1R16A_9_RI";2;0,11219802566325;0,334072773042263;NA;NA;0,0382908183926619;0,726820135582099;0,802082418902872;0,0682442256599465;0,317881849383559;0,0341221128299733
"94";"cg00280345";"PPP1R16A";"PPP1R16A_10_RI";2;0,292391944398661;0,566703801809905;NA;NA;0,0382908183926619;0,726820135582099;0,802082418902872;0,0682442256599465;0,317881849383559;0,0341221128299733
"95";"cg00287773";"CYSTM1";"CYSTM1_3_CE";2;0,520658277187686;0,751030505105313;NA;NA;-0,256587399532982;0,0968657893974193;0,19057185130028;0,0862276627632146;0,24629084638695;0,0431138313816073
"96";"cg00288050";"HOOK2";"HOOK2_11_C";2;0,279732461487294;0,554036377572654;NA;NA;0,152566851538135;0,168939192536371;0,295577690402987;0,159601553649903;0,201744922784683;0,0798007768249517
"97";"cg00288050";"HOOK2";"HOOK2_6_C";2;0,00305415923809969;0,0292216876774418;NA;NA;0,152566851538135;0,168939192536371;0,295577690402987;0,159601553649903;0,201744922784683;0,0798007768249517
"98";"cg00288050";"HOOK2";"HOOK2_43_C";2;0,24369672592574;0,512536764843819;NA;NA;0,152566851538135;0,168939192536371;0,295577690402987;0,159601553649903;0,201744922784683;0,0798007768249517
"99";"cg00288050";"HOOK2";"HOOK2_18_AL";2;0,273259816788932;0,545373882605953;NA;NA;0,152566851538135;0,168939192536371;0,295577690402987;0,159601553649903;0,201744922784683;0,0798007768249517
"100";"cg00288050";"HOOK2";"HOOK2_5_AL";2;0,165049211056619;0,416432588196806;NA;NA;0,152566851538135;0,168939192536371;0,295577690402987;0,159601553649903;0,201744922784683;0,0798007768249517
"101";"cg00288050";"HOOK2";"HOOK2_53_C";2;0,551381045852239;0,774764596113612;NA;NA;0,152566851538135;0,168939192536371;0,295577690402987;0,159601553649903;0,201744922784683;0,0798007768249517
"102";"cg00288050";"PRDX2";"PRDX2_6_C";2;0,91524544577562;0,966645099433309;NA;NA;-0,522024607018098;0,000359581140934335;0,00142258437267331;0,159601553649903;0,201744922784683;0,0798007768249517
"103";"cg00288050";"PRDX2";"PRDX2_3_C";2;0,274453874881895;0,546719620920767;NA;NA;-0,522024607018098;0,000359581140934335;0,00142258437267331;0,159601553649903;0,201744922784683;0,0798007768249517
"104";"cg00288050";"HOOK2";"HOOK2_10_RI";2;0,111162418843879;0,332120038534241;NA;NA;0,152566851538135;0,168939192536371;0,295577690402987;0,159601553649903;0,201744922784683;0,0798007768249517
"105";"cg00288050";"RNASEH2A";"RNASEH2A_6_RI";2;0,241682768269117;0,51073651282238;NA;NA;1,54440491679298;2,43535340378705e-35;6,49649295211106e-33;0,159601553649903;0,201744922784683;0,0798007768249517
"106";"cg00288050";"PRDX2";"PRDX2_11_C";2;0,306585121845718;0,580941318273602;NA;NA;-0,522024607018098;0,000359581140934335;0,00142258437267331;0,159601553649903;0,201744922784683;0,0798007768249517
"107";"cg00288050";"PRDX2";"PRDX2_1_AL";2;0,283641866195911;0,557115351983318;NA;NA;-0,522024607018098;0,000359581140934335;0,00142258437267331;0,159601553649903;0,201744922784683;0,0798007768249517
"108";"cg00295572";"WRAP73";"WRAP73_24_AL";2;0,349391239578635;0,617829076906666;NA;NA;0,886727831704633;9,57605835564525e-22;4,76082625342974e-20;0,0839936190671553;0,270638433274348;0,0419968095335777
"109";"cg00295572";"WRAP73";"WRAP73_10_AF";2;7,30218954349869e-05;0,00135578869549673;NA;NA;0,886727831704633;9,57605835564525e-22;4,76082625342974e-20;0,0839936190671553;0,270638433274348;0,0419968095335777
"110";"cg00297832";"MIB2";"MIB2_33_RI";2;0,481517724816427;0,72141039978065;NA;NA;0,908278303177959;7,36834053549523e-13;1,19109047727277e-11;0,0341594801701889;-0,337861919982928;0,982920259914906
"111";"cg00310855";"VPS51";"VPS51_27_C";2;0,418597414714536;0,6758333981325;NA;NA;0,0427083954869819;0,567115578351441;0,683072497324688;0,0130320381091735;0,564744646731513;0,00651601905458673
"112";"cg00326648";"PEX13";"PEX13_8_C";2;0,000255162952257531;0,00391473687279317;NA;NA;0,534760276451981;8,40321747836643e-08;6,60241898514339e-07;0,324945128499003;-0,138548144911483;0,837527435750499
"113";"cg00330825";"RPLP2";"RPLP2_5_AF";2;0,946005744093296;0,980332688279812;NA;NA;0,190961231688566;0,0594998536332472;0,127832327014641;0,703648587079509;0,0558267390263784;0,351824293539754
"114";"cg00330825";"RPLP2";"RPLP2_4_C";2;0,963488734849903;0,986270512262952;NA;NA;0,190961231688566;0,0594998536332472;0,127832327014641;0,703648587079509;0,0558267390263784;0,351824293539754
"115";"cg00346883";"PLA2G15";"PLA2G15_7_C";2;0,0980106764839942;0,307915635589899;NA;NA;0,604486764469883;5,80076354716828e-10;6,36454857465534e-09;0,0690218909758518;-0,273866447620714;0,965489054512074
"116";"cg00347798";"EXOSC7";"EXOSC7_16_AF";2;0,91273998164102;0,965561572017258;NA;NA;0,345025070616527;3,17005460340696e-05;0,000156484459488632;0,345868679612576;0,129459636869499;0,172934339806288
"117";"cg00347798";"EXOSC7";"EXOSC7_18_AF";2;0,145592381269878;0,389741228005322;NA;NA;0,345025070616527;3,17005460340696e-05;0,000156484459488632;0,345868679612576;0,129459636869499;0,172934339806288
"118";"cg00378423";"MLLT6";"MLLT6_9_AL";2;0,00692543730186961;0,0538337326265331;NA;NA;0,0187680572516451;0,868046679203517;0,908306525185585;0,342402090459815;-0,169828446926983;0,828798954770092
"119";"cg00378423";"MLLT6";"MLLT6_10_AF";2;0,0118096439327297;0,0777090565776684;NA;NA;0,0187680572516451;0,868046679203517;0,908306525185585;0,342402090459815;-0,169828446926983;0,828798954770092
"120";"cg00378473";"ACOT9";"ACOT9_21_C";2;0,502654922934715;0,738513976470018;NA;NA;1,2898568983884;1,88087834595564e-35;5,06198699382211e-33;0,00446407729280282;-0,46125579395783;0,997767961353599
"121";"cg00378473";"ACOT9";"ACOT9_12_C";2;0,492709403982431;0,731441421957594;NA;NA;1,2898568983884;1,88087834595564e-35;5,06198699382211e-33;0,00446407729280282;-0,46125579395783;0,997767961353599
"122";"cg00395501";"RPL5";"RPL5_4_CE";2;0,207170823733095;0,468306591785124;NA;NA;-0,0794074543463282;0,275902741909087;0,423530677454886;0,0902591119368074;-0,271480399000501;0,954870444031596
"123";"cg00395501";"RPL5";"RPL5_2_AF";2;0,00171101968470876;0,0187504600786693;NA;NA;-0,0794074543463282;0,275902741909087;0,423530677454886;0,0902591119368074;-0,271480399000501;0,954870444031596
"124";"cg00395501";"RPL5";"RPL5_3_RI";2;0,00171101968470876;0,0187504600786693;NA;NA;-0,0794074543463282;0,275902741909087;0,423530677454886;0,0902591119368074;-0,271480399000501;0,954870444031596
"125";"cg00395501";"RPL5";"RPL5_9_C";2;0,00745327149725657;0,0563343640825486;NA;NA;-0,0794074543463282;0,275902741909087;0,423530677454886;0,0902591119368074;-0,271480399000501;0,954870444031596
